id_cli,nomb_cli,apell_cli,tip_doc,num_doc,fec_nac,fec_alta,cod_segmento,score_buro,ciudad_res,depto_res,estado_cli,canal_adquis
CLI_000001,Olga,Canales,DNI,116323670,1951-11-14,2026-03-10 04:23:41,STD,699.0,Santiago,Metropolitana,Activo,Referido
CLI_000002,Alta  Gracia,Gamez,CE,487488537,1984-09-01,2025-06-13 16:56:16,PRM,636.0,Ciudad de México,CDMX,Activo,App
CLI_000003,Ramiro,Trejo,CC,437499187,1979-09-24,2026-02-22 07:00:11,BAS,714.0,Lima,Lima,Inactivo,Campaña
CLI_000004,Edwin,Crespo,CC,64308262,1963-03-17,2025-07-06 14:27:29,STD,802.0,Buenos Aires,CABA,Activo,Web
CLI_000005,Esmeralda,López,DNI,232433532,1970-02-26,2026-04-02 15:10:03,STD,626.0,Bogotá,Cundinamarca,Activo,Web
CLI_000006,Alberto,Rico,CC,307721596,1956-01-11,2025-10-06 14:23:49,PRM,626.0,Buenos Aires,CABA,Activo,Web
CLI_000007,Ana,Salcedo,CC,719805235,2006-11-11,2025-12-27 19:10:22,PRM,807.0,Ciudad de México,CDMX,Activo,Referido
CLI_000008,Amalia,Longoria,CE,26944811,1983-11-28,2026-04-03 19:11:26,BAS,726.0,Buenos Aires,CABA,Activo,Campaña
CLI_000009,Juan,Cárdenas,CE,491331845,2000-01-11,2025-12-22 07:28:21,STD,603.0,Bogotá,Cundinamarca,Activo,App
CLI_000010,Laura,Narváez,CC,790871219,1959-11-08,2025-11-23 12:59:45,STD,704.0,Buenos Aires,CABA,Activo,Referido
CLI_000011,Oswaldo,Dávila,CC,524302907,1985-10-01,2025-11-25 21:15:56,STD,603.0,Bogotá,Cundinamarca,Activo,App
CLI_000012,Irma,Girón,CC,975580338,1972-06-05,2025-12-08 09:38:12,BAS,603.0,Santiago,Metropolitana,Activo,App
CLI_000013,Alba,Valverde,DNI,774668242,1997-02-10,2025-07-20 00:11:27,BAS,674.0,Buenos Aires,CABA,Bloqueado,Referido
CLI_000014,Dary,Sánchez,CC,861580447,1962-10-02,2025-11-24 04:56:03,STD,458.0,Santiago,Metropolitana,Activo,Web
CLI_000015,Mauricio,Burbano,CE,373925049,1964-09-21,2025-11-15 00:32:32,STD,477.0,Ciudad de México,CDMX,Activo,App
CLI_000016,Nancy,López,CE,173894795,1971-06-01,2025-09-30 09:09:42,STD,593.0,Lima,Lima,Activo,App
CLI_000017,Soledad,Pichardo,CC,809496315,2000-05-13,2026-04-20 00:40:33,STD,548.0,Santiago,Metropolitana,Activo,App
CLI_000018,Andrés,Carrero,CE,729421270,1972-09-26,2026-01-14 18:15:02,BAS,681.0,Buenos Aires,CABA,Activo,Campaña
CLI_000019,Martha,Sánchez,CE,654685429,1994-12-31,2026-05-04 03:12:18,BAS,559.0,Bogotá,Cundinamarca,Activo,Web
CLI_000020,Miller,Sarabia,CC,385932035,2005-09-28,2025-07-31 02:11:23,STD,508.0,Ciudad de México,CDMX,Activo,Referido
CLI_000021,Héctor,Corral,DNI,834024405,2000-11-28,2026-01-09 22:59:59,STD,796.0,Santiago,Metropolitana,Activo,App
CLI_000022,Rufino,Reyes,CC,203720285,1994-08-24,2026-01-23 12:14:38,BAS,627.0,Lima,Lima,Activo,Referido
CLI_000023,Daniela,Valverde,DNI,715818425,2004-04-22,2025-10-15 07:46:31,BAS,,Ciudad de México,CDMX,Activo,App
CLI_000024,Víctor,Cazares,CE,460791704,1955-05-22,2025-07-06 15:14:36,BAS,507.0,Ciudad de México,CDMX,Activo,Referido
CLI_000025,Gabino,Alfonso,DNI,101221925,2005-05-03,2026-03-08 05:45:42,PRM,595.0,Buenos Aires,CABA,Activo,App
CLI_000026,Ancizar,Mendoza,DNI,465282394,1991-10-09,2026-02-17 17:50:37,BAS,661.0,Santiago,Metropolitana,Activo,Referido
CLI_000027,Andrea,Rodríguez,CE,471616250,1957-06-09,2025-08-23 17:14:54,BAS,534.0,Bogotá,Cundinamarca,Activo,Campaña
CLI_000028,Angélica,Girón,CC,434410834,1984-07-20,2025-12-22 15:22:54,ELT,687.0,Bogotá,Cundinamarca,Activo,Web
CLI_000029,Patricia,Leiva,CE,320791488,2002-12-08,2025-09-26 01:25:55,BAS,589.0,Ciudad de México,CDMX,Activo,Campaña
